Name,Score
geforce gtx 1060 with max-q design,7854
geforce gtx 1070,13501
geforce gtx 1070 (mobile),10465
geforce gtx 1070 ti,14686
geforce gtx 1070 with max-q design,9812
geforce gtx 1080,15586
geforce gtx 1080 ti,18598
geforce gtx 1080 with max-q design,11505
geforce gtx 1630,4982
geforce gtx 1650,7874
geforce gtx 1650 (mobile),6968
geforce gtx 1650 super,10183
geforce gtx 1650 ti,7523
geforce gtx 1650 ti with max-q design,6545
geforce gtx 1650 with max-q design,6262
geforce gtx 1660,11640
geforce gtx 1660 super,12697
geforce gtx 1660 ti,12835
geforce gtx 1660 ti (mobile),10138
geforce gtx 1660 ti with max-q design,8573
geforce gtx 260,1205
geforce gtx 260m,380
geforce gtx 275,1379
geforce gtx 280,1285
geforce gtx 280m,575
geforce gtx 285,1500
geforce gtx 285m,584
geforce gtx 295,1200
geforce gtx 460,2275
geforce gtx 460 se,1992
geforce gtx 460 v2,1954
geforce gtx 460m,1214
geforce gtx 465,2653
geforce gtx 470,3143
geforce gtx 470m,1953
geforce gtx 480,4075
geforce gtx 480m,1653
geforce gtx 485m,2359
geforce gtx 550 ti,1557
geforce gtx 555,1588
geforce gtx 560,2761
geforce gtx 560 se,1847
geforce gtx 560 ti,3068
geforce gtx 560m,1269
geforce gtx 570,3927
geforce gtx 570m,1877
geforce gtx 580,4637
geforce gtx 580m,2074
geforce gtx 590,3341
geforce gtx 645,1879
geforce gtx 650,1753
geforce gtx 650 ti,2518
geforce gtx 650 ti boost,3400
geforce gtx 660,4029
geforce gtx 660 ti,4408
geforce gtx 660m,1446
geforce gtx 670,5359
geforce gtx 670m,1725
geforce gtx 670mx,1976
geforce gtx 675m,1873
geforce gtx 675mx,2969
geforce gtx 680,5603
geforce gtx 680m,3276
geforce gtx 680m ky_bullet edition,3568
geforce gtx 680mx,3686
geforce gtx 690,5486
geforce gtx 745,2127
geforce gtx 750,3323
geforce gtx 750 ti,3903
geforce gtx 760,4806
geforce gtx 760 ti,5306
geforce gtx 760 ti oem,5427
geforce gtx 760a,1226
geforce gtx 760m,1706
geforce gtx 765m,2016
geforce gtx 770,5945
geforce gtx 770m,2770
geforce gtx 775m,3688
geforce gtx 780,7957
geforce gtx 780 ti,9477
geforce gtx 780m,3822
geforce gtx 850a,767
geforce gtx 850m,2536
geforce gtx 850m - modded,1091
geforce gtx 860m,3091
geforce gtx 870m,3529
geforce gtx 880m,3817
geforce gtx 950,5348
geforce gtx 950a,2598
geforce gtx 950m,2573
geforce gtx 960,6121
geforce gtx 960a,3464
geforce gtx 960m,3370
geforce gtx 965m,3832
geforce gtx 970,9634
geforce gtx 970m,5710
geforce gtx 970xm force,6706
geforce gtx 980,11083
geforce gtx 980 ti,13714
