Name,Score
amd athlon tf-36,338
amd athlon x2 215,996
amd athlon x2 240,921
amd athlon x2 240e,1015
amd athlon x2 250,855
amd athlon x2 255,938
amd athlon x2 280,1327
amd athlon x2 340 dual core,1333
amd athlon x2 370k dual core,1504
amd athlon x2 450,1295
amd athlon x2 dual core 3250e,348
amd athlon x2 dual core 6850e,564
amd athlon x2 dual core be-2300,570
amd athlon x2 dual core be-2350,591
amd athlon x2 dual core be-2400,674
amd athlon x2 dual core l310,343
amd athlon x3 425,1516
amd athlon x3 435,1781
amd athlon x3 440,1438
amd athlon x3 445,1626
amd athlon x3 455,1783
amd athlon x4 530,1786
amd athlon x4 620,1810
amd athlon x4 640,2115
amd athlon x4 730,2278
amd athlon x4 740 quad core,2639
amd athlon x4 750 quad core,2751
amd athlon x4 750k quad core,2883
amd athlon x4 760k quad core,2977
amd athlon x4 830,2901
amd athlon x4 840,3340
amd athlon x4 845,3784
amd athlon x4 850,2756
amd athlon x4 860k,3430
amd athlon x4 870k,3432
amd athlon x4 880k,3656
amd athlon x4 950,3578
amd athlon x4 970,3701
amd athlon xp 1500+,167
amd athlon xp 1600+,174
amd athlon xp 1700+,176
amd athlon xp 1800+,195
amd athlon xp 1900+,203
amd athlon xp 2000+,195
amd athlon xp 2100+,210
amd athlon xp 2200+,214
amd athlon xp 2400+,234
amd athlon xp 2500+,231
amd athlon xp 2600+,242
amd athlon xp 2700+,256
amd athlon xp 2800+,260
amd athlon xp 2900+,276
amd athlon xp 3000+,262
amd athlon xp 3100+,282
amd athlon xp 3200+,281
amd athlon xp1600+,183
amd athlon xp2400+,243
amd athlon64 x2 dual core 4600+,803
amd bc-250,13201
amd c-30,178
amd c-50,258
amd c-60,290
amd c-60 apu,316
amd c-70 apu,315
amd custom apu 0932,9394
amd e-240,195
amd e-300 apu,336
amd e-350,429
amd e-350 apu,423
amd e-350d apu,486
amd e-450 apu,434
amd e1 micro-6200t apu,600
amd e1-1200 apu,380
amd e1-1500 apu,390
amd e1-2100 apu,413
amd e1-2200 apu,474
amd e1-2500 apu,593
amd e1-6010 apu,542
amd e1-6015 apu,581
amd e1-6050j apu,1385
amd e1-7010 apu,605
amd e2-1800 apu,448
amd e2-2000 apu,496
amd e2-3000 apu,743
amd e2-3000m apu,668
amd e2-3200 apu,986
amd e2-3800 apu,1160
amd e2-6110 apu,1224
amd e2-7015,611
amd e2-7015 apu,653
amd e2-7110 apu,1506
amd e2-9000,950
amd e2-9000e,885
amd e2-9010,1073
amd e2-9030,983
amd embedded g-series gx-215jj radeon r2e,1097
amd embedded g-series gx-224ij radeon r4e,1271
amd embedded g-series gx-420gi radeon r7e,1599
amd embedded r-series rx-216gd,1628
amd embedded r-series rx-418gd radeon r6,3426
amd embedded r-series rx-421bd,3302
amd embedded r-series rx-421nd,3024
amd epyc 3101 4-core,6050
amd epyc 3151,8306
amd epyc 3201,8672
amd epyc 3251,13757
amd epyc 3451,19532
amd epyc 4124p,18081
amd epyc 4244p,27164
amd epyc 4245p,31316
amd epyc 4344p,33690
amd epyc 4345p,37671
amd epyc 4364p,34811
amd epyc 4464p,47312
amd epyc 4465p,50394
amd epyc 4484px,50547
amd epyc 4545p,55383
amd epyc 4564p,65351
amd epyc 4565p,64006
amd epyc 4584px,60169
amd epyc 4585px,71682
